"","default","larger.sample.size","larger.noise"
"rt",0.260310614769387,0.251661147842358,0.25346089292517
"ssrt",0.243700428784807,0.217385753113137,0.215322168769582
"art",0.129318337149966,0.0690191014403721,0.270428018391795
